url,daywithdata
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170214,2/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170215,2/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170216,2/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170217,2/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170218,2/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170219,2/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170220,2/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170221,2/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170222,2/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170223,2/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170224,2/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170225,2/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170226,2/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170227,2/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170228,2/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170301,3/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170302,3/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170303,3/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170304,3/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170305,3/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170306,3/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170307,3/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170308,3/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170309,3/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170310,3/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170311,3/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170312,3/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170313,3/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170314,3/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170315,3/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170316,3/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170317,3/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170318,3/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170319,3/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170320,3/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170321,3/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170322,3/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170323,3/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170324,3/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170325,3/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170326,3/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170327,3/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170328,3/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170329,3/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170330,3/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170331,3/31/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170401,4/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170402,4/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170403,4/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170404,4/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170405,4/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170406,4/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170407,4/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170408,4/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170409,4/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170410,4/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170411,4/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170412,4/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170413,4/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170414,4/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170415,4/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170416,4/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170417,4/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170418,4/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170419,4/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170420,4/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170421,4/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170422,4/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170423,4/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170424,4/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170425,4/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170426,4/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170427,4/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170428,4/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170429,4/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170430,4/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170501,5/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170502,5/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170503,5/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170504,5/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170505,5/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170506,5/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170507,5/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170508,5/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170509,5/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170510,5/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170511,5/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170512,5/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170513,5/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170514,5/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170515,5/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170516,5/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170517,5/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170518,5/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170519,5/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170520,5/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170521,5/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170522,5/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170523,5/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170524,5/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170525,5/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170526,5/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170527,5/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170528,5/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170529,5/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170530,5/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170531,5/31/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170601,6/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170602,6/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170603,6/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170604,6/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170605,6/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170606,6/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170607,6/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170608,6/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170609,6/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170610,6/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170611,6/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170612,6/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170613,6/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170614,6/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170615,6/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170616,6/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170617,6/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170618,6/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170619,6/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170620,6/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170621,6/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170622,6/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170623,6/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170624,6/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170625,6/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170626,6/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170627,6/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170628,6/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170629,6/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170630,6/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170701,7/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170702,7/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170703,7/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170704,7/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170705,7/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170706,7/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170707,7/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170708,7/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170709,7/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170710,7/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170711,7/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170712,7/12/2017
